Dataset,DefectNum,ModuleNum,DefectRate,ImbLevel,Metrics,Classifier,ImbLearner,ImbLearnerType,AUC,MCC
ant-1.5,32,293,0.109215017,8.15625,CK,LR,Y,Bst,0.7678 ,0.3182 
ant-1.5,32,293,0.109215017,8.15625,CK,NB,Y,Bst,0.7543 ,0.4165 
ant-1.5,32,293,0.109215017,8.15625,CK,RF,Y,Bst,0.7334 ,0.2666 
ant-1.5,32,293,0.109215017,8.15625,CK,Ripper,Y,Bst,0.7297 ,0.2135 
ant-1.5,32,293,0.109215017,8.15625,CK,SVM,Y,Bst,0.7850 ,0.2072 
ant-1.5,32,293,0.109215017,8.15625,CK,C4.5,Y,COS,0.7449 ,0.4652 
ant-1.5,32,293,0.109215017,8.15625,CK,IBk,Y,COS,0.7829 ,0.3114 
ant-1.5,32,293,0.109215017,8.15625,CK,LR,Y,COS,0.8270 ,0.3821 
ant-1.5,32,293,0.109215017,8.15625,CK,NB,Y,COS,0.7947 ,0.3389 
ant-1.5,32,293,0.109215017,8.15625,CK,RF,Y,COS,0.7227 ,0.3377 
ant-1.5,32,293,0.109215017,8.15625,CK,Ripper,Y,COS,0.7443 ,0.4569 
ant-1.5,32,293,0.109215017,8.15625,CK,SVM,Y,COS,0.5000 ,0.0000 
ant-1.5,32,293,0.109215017,8.15625,CK,C4.5,Y,EM1v1,0.7764 ,0.3743 
ant-1.5,32,293,0.109215017,8.15625,CK,IBk,Y,EM1v1,0.7914 ,0.2558 
ant-1.5,32,293,0.109215017,8.15625,CK,LR,Y,EM1v1,0.8417 ,0.3918 
ant-1.5,32,293,0.109215017,8.15625,CK,NB,Y,EM1v1,0.7970 ,0.3645 
ant-1.5,32,293,0.109215017,8.15625,CK,RF,Y,EM1v1,0.7910 ,0.3019 
ant-1.5,32,293,0.109215017,8.15625,CK,Ripper,Y,EM1v1,0.7824 ,0.3394 
ant-1.5,32,293,0.109215017,8.15625,CK,SVM,Y,EM1v1,0.7543 ,0.3881 
ant-1.5,32,293,0.109215017,8.15625,CK,C4.5,N,none,0.6680 ,0.3255 
ant-1.5,32,293,0.109215017,8.15625,CK,IBk,N,none,0.7689 ,0.3400 
ant-1.5,32,293,0.109215017,8.15625,CK,LR,N,none,0.8332 ,0.1936 
ant-1.5,32,293,0.109215017,8.15625,CK,NB,N,none,0.8299 ,0.4057 
ant-1.5,32,293,0.109215017,8.15625,CK,RF,N,none,0.6801 ,0.3236 
ant-1.5,32,293,0.109215017,8.15625,CK,Ripper,N,none,0.7308 ,0.4595 
ant-1.5,32,293,0.109215017,8.15625,CK,SVM,N,none,0.5000 ,0.0000 
ant-1.5,32,293,0.109215017,8.15625,CK,C4.5,Y,OBag,0.6938 ,0.2717 
ant-1.5,32,293,0.109215017,8.15625,CK,IBk,Y,OBag,0.7828 ,0.3076 
ant-1.5,32,293,0.109215017,8.15625,CK,LR,Y,OBag,0.8449 ,0.4153 
ant-1.5,32,293,0.109215017,8.15625,CK,NB,Y,OBag,0.7781 ,0.3518 
ant-1.5,32,293,0.109215017,8.15625,CK,RF,Y,OBag,0.7347 ,0.3208 
ant-1.5,32,293,0.109215017,8.15625,CK,Ripper,Y,OBag,0.7745 ,0.3598 
ant-1.5,32,293,0.109215017,8.15625,CK,SVM,Y,OBag,0.7503 ,0.4065 
ant-1.5,32,293,0.109215017,8.15625,CK,C4.5,Y,OBst,0.7384 ,0.2440 
ant-1.5,32,293,0.109215017,8.15625,CK,IBk,Y,OBst,0.7257 ,0.2590 
ant-1.5,32,293,0.109215017,8.15625,CK,LR,Y,OBst,0.7893 ,0.3938 
ant-1.5,32,293,0.109215017,8.15625,CK,NB,Y,OBst,0.7694 ,0.3486 
ant-1.5,32,293,0.109215017,8.15625,CK,RF,Y,OBst,0.7364 ,0.3196 
ant-1.5,32,293,0.109215017,8.15625,CK,Ripper,Y,OBst,0.7487 ,0.2683 
ant-1.5,32,293,0.109215017,8.15625,CK,SVM,Y,OBst,0.7519 ,0.3905 
ant-1.5,32,293,0.109215017,8.15625,CK,C4.5,Y,OS,0.6426 ,0.2493 
